# #nrj, cp, cm, Iz0, Iz1
7.450999755899999855e+02 -7.675668964439618302e-04 -6.923665204357319983e-03 -1.153684815120192136e-02 -6.156098307913358478e-03
7.452000122099999544e+02 -9.244592769503841984e-03 -3.471994451326233279e-03 -1.907488083124510986e-02 5.772598318177608705e-03
7.452999877900000456e+02 -1.113822896437283768e-03 -4.304435605005259118e-03 -8.127387752163813678e-03 -3.190612708567975350e-03
7.454000244100000145e+02 -6.777103880613880027e-03 -8.184092641235830509e-03 -2.244179478277456494e-02 -1.406988760621950482e-03
7.455000000000000000e+02 -3.534877145424071727e-03 -1.987430178958777150e-03 -8.283460986574273099e-03 1.547446966465294577e-03
7.455999755899999855e+02 -2.812392697433338876e-03 -7.688332787771642168e-03 -1.575108822780747070e-02 -4.875940090338303293e-03
7.457000122099999544e+02 -7.702794509727197737e-03 1.646997043926523097e-03 -9.083696198701012720e-03 9.349791553653721485e-03
7.457999877900000456e+02 -4.732349328314315682e-04 -4.821857422541927368e-03 -7.942638533060038947e-03 -4.348622489710496017e-03
7.459000244100000145e+02 -6.231369244918436717e-03 -3.997443402352981491e-03 -1.534321897090712601e-02 2.233925842565455226e-03
7.460000000000000000e+02 -3.629667378145161067e-03 -1.391840303388928871e-03 -7.532261522301134798e-03 2.237827074756231979e-03
7.460999755899999855e+02 5.704667575417222188e-04 -4.760533098978021911e-03 -6.285099512154449647e-03 -5.330999856519744347e-03
7.462000122099999544e+02 -7.345421946640308224e-03 -1.450473294267714229e-03 -1.319384286136203455e-02 5.894948652372593995e-03
7.462999877900000456e+02 -1.446166818110548521e-03 -7.691569494503482096e-03 -1.370660446892104506e-02 -6.245402676392933575e-03
7.464000244100000145e+02 -5.061864865904877435e-03 -5.882186685418295874e-04 -8.475125301670060479e-03 4.473646197363048173e-03
7.465000000000000000e+02 -4.218077707641666382e-03 -7.526663995579015555e-04 -7.456116160799351744e-03 3.465411308083764935e-03
7.465999755899999855e+02 -2.374468744258210204e-04 -6.609009314515665139e-03 -1.026968428341222886e-02 -6.371562440089843793e-03
7.467000122099999544e+02 -1.063650289818929458e-02 6.855895699437263404e-04 -1.492636999236835252e-02 1.132209246813302081e-02
7.467999877900000456e+02 3.077734302335316009e-03 -5.452480372423073283e-03 -3.562119105131635911e-03 -8.530214674758389293e-03
7.469000244100000145e+02 -5.837232552655656839e-03 -4.020073170015248283e-03 -1.478595858400635898e-02 1.817159382640408556e-03
7.470000000000000000e+02 -3.941491848963633859e-03 -6.610118057154683877e-04 -6.903755482018653425e-03 3.280480043248165580e-03
7.470999755899999855e+02 -2.938897344156224129e-03 -4.394513700993326819e-03 -1.100011656772432664e-02 -1.455616356837102689e-03
7.472000122099999544e+02 -5.200506376129633221e-03 -5.185932683180783271e-05 -7.878548554442161428e-03 5.148647049297825490e-03
7.472999877900000456e+02 8.469554346960514370e-04 -7.557772399876178104e-03 -1.006622544777019054e-02 -8.404727834572229758e-03
7.474000244100000145e+02 -3.997201404786136607e-03 -2.888779871595777062e-03 -1.032897191457286985e-02 1.108421533190359545e-03
7.475000000000000000e+02 -2.235189283123838449e-03 -6.207078872629660793e-04 -4.283845755580206575e-03 1.614481395860872370e-03
7.475999755899999855e+02 -8.976115480151386754e-04 -4.874808793581329562e-03 -8.658630512394703549e-03 -3.977197245566190670e-03
7.477000122099999544e+02 -3.733797147315589919e-03 3.432140520506874772e-03 -4.524849402130727213e-04 7.165937667822464691e-03
7.477999877900000456e+02 -1.389347425215560440e-03 -6.690569463010930321e-03 -1.211987533233973430e-02 -5.301222037795369664e-03
7.479000244100000145e+02 -5.075603597859755338e-03 3.062284024601602626e-03 -3.019979359887229285e-03 8.137887622461358397e-03
7.480000000000000000e+02 -1.201520038364906930e-03 -1.554609857701424189e-03 -4.134194844099495919e-03 -3.530898193365172594e-04
7.480999755899999855e+02 -6.175228374113814634e-04 -4.230926982074289383e-03 -7.272674729228505511e-03 -3.613404144662908136e-03
7.482000122099999544e+02 4.561803195690814698e-04 2.666527651213388035e-03 4.684061956173704230e-03 2.210347331644306728e-03
7.482999877900000456e+02 -6.654619364084351715e-04 -4.173157044453279854e-03 -7.257928471292572972e-03 -3.507695108044844683e-03
7.484000244100000145e+02 -3.366472122562533600e-03 -7.711377218485620166e-04 -6.206414766616642938e-03 2.595334400713971475e-03
7.485000000000000000e+02 -1.893308297419525003e-03 -3.038635598999931504e-04 -3.295757785979277175e-03 1.589444737519531744e-03
7.485999755899999855e+02 2.577072273533871031e-03 1.929962573253161864e-03 6.760552270180549342e-03 -6.471097002807091672e-04
7.487000122099999544e+02 -3.178824616633292837e-03 1.108819606292192703e-03 -3.105007515511650201e-03 4.287644222925485540e-03
7.487999877900000456e+02 2.597812515539907330e-03 -2.716838588487894331e-03 -1.785391094219805023e-04 -5.314651104027802095e-03
7.489000244100000145e+02 -5.017291663544683341e-05 2.046765224742317507e-03 2.994888462160305923e-03 2.096938141377764544e-03
7.490000000000000000e+02 -1.278436808792406728e-03 1.035575802147628869e-03 -3.642915099671667880e-04 2.314012610940035380e-03
7.490999755899999855e+02 3.822441536676250522e-03 1.043129225971914636e-03 7.298356143972247086e-03 -2.779312310704335886e-03
7.492000122099999544e+02 -2.517285281554905874e-03 2.849527085904807709e-03 4.983627065248527523e-04 5.366812367459714017e-03
7.492999877900000456e+02 4.018450098717366546e-03 -3.934113901492651403e-04 5.437558062852152624e-03 -4.411861488866631632e-03
7.494000244100000145e+02 1.968983222364471992e-03 4.158758193944879500e-03 9.191612124464027672e-03 2.189774971580407507e-03
7.495000000000000000e+02 -1.748397503233723926e-06 3.220657165676817785e-03 4.828363152260376628e-03 3.222405563180051440e-03
7.495999755899999855e+02 3.006640956217263450e-03 -3.252444846658958822e-04 4.022094707327051460e-03 -3.331885440883159549e-03
7.497000122099999544e+02 6.939568968454242273e-04 6.095685460474542169e-03 1.018446353597994916e-02 5.401728563629117942e-03
7.497999877900000456e+02 3.663616823057761016e-03 -1.036826083163713570e-03 3.940186109841071170e-03 -4.700442906221474586e-03
7.499000244100000145e+02 2.297478365592490242e-03 3.681222264803656920e-03 8.968050945594219225e-03 1.383743899211166677e-03
7.500000000000000000e+02 1.955492911875032595e-03 3.633433494361406561e-03 8.383389609354658517e-03 1.677940582486373965e-03
